Date,TSLA,"Tesla, Inc.","Tesla,"
2015-01-01,0.9800000000000001,,0.0
2015-01-02,4.130000000000001,,0.0
2015-01-03,0.56,,0.0
2015-01-04,0.7000000000000001,,19.0
2015-01-05,1.9600000000000002,,0.0
2015-01-06,1.9600000000000002,,0.0
2015-01-07,2.3800000000000003,,0.0
2015-01-08,2.9400000000000004,,0.0
2015-01-09,3.2900000000000005,,0.0
2015-01-10,0.56,,0.0
2015-01-11,0.9100000000000001,,0.0
2015-01-12,3.2900000000000005,,15.01
2015-01-13,4.83,,0.0
2015-01-14,7.000000000000001,,0.0
2015-01-15,4.41,,0.0
2015-01-16,4.2700000000000005,,15.77
2015-01-17,1.4700000000000002,,0.0
2015-01-18,0.21000000000000002,,0.0
2015-01-19,1.8900000000000001,,16.34
2015-01-20,5.180000000000001,,0.0
2015-01-21,2.45,,0.0
2015-01-22,3.5700000000000003,,0.0
2015-01-23,2.3800000000000003,,0.0
2015-01-24,0.35000000000000003,,0.0
2015-01-25,0.35000000000000003,,0.0
2015-01-26,1.4000000000000001,,0.0
2015-01-27,4.340000000000001,,14.82
2015-01-28,3.1500000000000004,,0.0
2015-01-29,4.62,,0.0
2015-01-30,2.9400000000000004,,0.0
2015-01-31,0.7000000000000001,,0.0
2015-02-01,0.44999999999999996,,0.0
2015-02-02,1.7999999999999998,,20.0
2015-02-03,2.25,,0.0
2015-02-04,2.34,,0.0
2015-02-05,2.07,,0.0
2015-02-06,2.6999999999999997,,0.0
2015-02-07,0.8099999999999999,,0.0
2015-02-08,0.63,,0.0
2015-02-09,2.4299999999999997,,0.0
2015-02-10,2.25,,0.0
2015-02-11,6.21,,10.0
2015-02-12,9.0,,0.0
2015-02-13,3.96,,0.0
2015-02-14,1.08,,0.0
2015-02-15,0.99,,0.0
2015-02-16,1.71,,0.0
2015-02-17,2.79,,0.0
2015-02-18,2.88,,0.0
2015-02-19,2.88,,10.0
2015-02-20,2.88,,0.0
2015-02-21,1.08,,0.0
2015-02-22,0.99,,0.0
2015-02-23,2.52,,0.0
2015-02-24,3.2399999999999998,,0.0
2015-02-25,3.06,,0.0
2015-02-26,2.16,,0.0
2015-02-27,2.07,,0.0
2015-02-28,0.44999999999999996,,0.0
2015-03-01,0.64,,7.54
2015-03-02,6.8,,0.0
2015-03-03,5.12,,5.98
2015-03-04,4.96,,0.0
2015-03-05,3.7600000000000002,,6.24
2015-03-06,5.5200000000000005,,0.0
2015-03-07,1.6,,0.0
2015-03-08,0.64,,0.0
2015-03-09,4.96,,6.24
2015-03-10,5.04,,0.0
2015-03-11,5.28,,0.0
2015-03-12,3.84,,0.0
2015-03-13,4.64,,0.0
2015-03-14,1.76,,0.0
2015-03-15,1.6,,0.0
2015-03-16,6.24,,0.0
2015-03-17,6.4,,0.0
2015-03-18,4.8,,0.0
2015-03-19,7.84,,0.0
2015-03-20,6.72,,0.0
2015-03-21,1.52,,7.930000000000001
2015-03-22,1.44,,0.0
2015-03-23,5.6000000000000005,,6.11
2015-03-24,5.44,,0.0
2015-03-25,4.88,,0.0
2015-03-26,6.0,,0.0
2015-03-27,6.5600000000000005,,13.0
2015-03-28,2.08,,0.0
2015-03-29,0.56,,0.0
2015-03-30,8.0,,6.5
2015-03-31,7.6000000000000005,,12.74
2015-04-01,3.96,,0.0
2015-04-02,5.22,,0.0
2015-04-03,6.21,,11.05
2015-04-04,1.6199999999999999,,0.0
2015-04-05,1.44,,0.0
2015-04-06,7.83,,10.14
2015-04-07,7.109999999999999,,0.0
2015-04-08,6.4799999999999995,,9.75
2015-04-09,6.66,,0.0
2015-04-10,4.05,,0.0
2015-04-11,1.3499999999999999,,0.0
2015-04-12,1.6199999999999999,,13.0
2015-04-13,5.22,,0.0
2015-04-14,6.93,,0.0
2015-04-15,3.78,,0.0
2015-04-16,4.5,,0.0
2015-04-17,5.58,,10.27
2015-04-18,0.54,,12.870000000000001
2015-04-19,0.27,,0.0
2015-04-20,4.2299999999999995,,0.0
2015-04-21,4.68,,9.620000000000001
2015-04-22,8.28,,0.0
2015-04-23,5.58,,0.0
2015-04-24,5.13,,0.0
2015-04-25,1.6199999999999999,,0.0
2015-04-26,1.3499999999999999,,0.0
2015-04-27,9.0,,0.0
2015-04-28,7.38,,9.620000000000001
2015-04-29,5.31,,0.0
2015-04-30,8.64,,0.0
2015-05-01,11.0,,10.22
2015-05-02,2.86,,0.0
2015-05-03,1.65,,0.0
2015-05-04,3.85,,0.0
2015-05-05,4.95,,0.0
2015-05-06,6.2700000000000005,,0.0
2015-05-07,8.47,,10.080000000000002
2015-05-08,4.84,,10.64
2015-05-09,1.54,,0.0
2015-05-10,0.77,,0.0
2015-05-11,3.63,,0.0
2015-05-12,4.18,,0.0
2015-05-13,3.74,,10.080000000000002
2015-05-14,3.3,,0.0
2015-05-15,3.41,,10.64
2015-05-16,1.76,,0.0
2015-05-17,0.88,,0.0
2015-05-18,2.64,,0.0
2015-05-19,3.85,,0.0
2015-05-20,2.86,,0.0
2015-05-21,2.86,,10.64
2015-05-22,2.53,,0.0
2015-05-23,0.88,,14.000000000000002
2015-05-24,0.44,,0.0
2015-05-25,0.66,,0.0
2015-05-26,2.97,,0.0
2015-05-27,2.97,,0.0
2015-05-28,2.97,,10.360000000000001
2015-05-29,2.75,,0.0
2015-05-30,0.66,,0.0
2015-05-31,0.77,,0.0
2015-06-01,4.41,,12.0
2015-06-02,4.69,,0.0
2015-06-03,4.550000000000001,,0.0
2015-06-04,5.180000000000001,,0.0
2015-06-05,4.2,,13.25
2015-06-06,1.7500000000000002,,0.0
2015-06-07,0.56,,0.0
2015-06-08,7.000000000000001,,0.0
2015-06-09,5.880000000000001,,0.0
2015-06-10,6.790000000000001,,0.0
2015-06-11,5.95,,12.75
2015-06-12,4.550000000000001,,0.0
2015-06-13,1.7500000000000002,,16.5
2015-06-14,1.7500000000000002,,0.0
2015-06-15,5.11,,12.5
2015-06-16,4.69,,12.5
2015-06-17,5.880000000000001,,12.5
2015-06-18,6.720000000000001,,12.5
2015-06-19,4.69,,0.0
2015-06-20,2.5200000000000005,,0.0
2015-06-21,0.8400000000000001,,0.0
2015-06-22,4.69,,25.0
2015-06-23,6.090000000000001,,12.25
2015-06-24,5.95,,0.0
2015-06-25,5.880000000000001,,12.75
2015-06-26,5.11,,13.25
2015-06-27,1.54,,0.0
2015-06-28,1.7500000000000002,,0.0
